yyyymm
194005
194006
194007
194008
194009
194010
194011
194105
194106
194107
194108
194109
194110
194111
194112
194204
194205
194206
194207
194208
194209
194210
194211
194305
194306
194307
194308
194309
194310
194311
194403
194405
194406
194407
194408
194409
194410
194506
194507
194508
194509
194510
194511
194512
194605
194606
194607
194608
194609
194610
194611
194706
194707
194708
194709
194710
194712
194804
194805
194806
194807
194808
194809
194810
194811
194906
194907
194908
194910
195005
195006
195007
195008
195009
195106
195107
195108
195109
195110
195112
195204
195206
195207
195208
195209
195210
195211
195306
195307
195308
195309
195310
195405
195407
195408
195409
195410
195505
195506
195507
195508
195509
195510
195511
195604
195605
195606
195607
195608
195609
195610
195611
195706
195707
195708
195709
195710
195711
195805
195806
195807
195808
195809
195810
195811
195905
195906
195907
195908
195909
195910
196005
196006
196007
196008
196009
196010
196011
196105
196106
196107
196108
196109
196110
196205
196206
196207
196208
196209
196210
196211
196212
196305
196306
196307
196308
196309
196310
196405
196406
196407
196408
196409
196410
196411
196412
196505
196506
196507
196508
196509
196510
196512
196601
196604
196605
196606
196607
196608
196609
196610
196611
196612
196705
196706
196707
196708
196709
196710
196711
196712
196805
196806
196807
196808
196809
196810
196811
196812
196905
196906
196907
196908
196909
196910
196911
197004
197005
197006
197007
197008
197009
197010
197011
197105
197106
197107
197108
197109
197110
197111
197206
197207
197208
197209
197210
197211
197212
197307
197308
197309
197310
197311
197312
197405
197406
197407
197408
197409
197410
197411
197501
197505
197506
197507
197508
197509
197510
197511
197512
197604
197605
197606
197607
197608
197609
197610
197611
197612
197705
197706
197707
197708
197709
197710
197711
197805
197806
197807
197808
197809
197810
197811
197905
197906
197907
197908
197909
197910
197911
198006
198007
198008
198009
198010
198106
198107
198108
198109
198110
198111
198112
198204
198205
198206
198207
198208
198209
198211
198306
198307
198308
198309
198310
198311
198405
198406
198407
198408
198409
198411
198412
198505
198506
198507
198508
198509
198510
198606
198607
198608
198609
198610
198611
198701
198702
198705
198706
198707
198708
198709
198710
198711
198805
198806
198807
198808
198809
198810
198811
198812
198905
198906
198907
198908
198909
198910
199005
199006
199007
199008
199009
199010
199011
199104
199105
199106
199107
199108
199109
199110
199111
199205
199206
199207
199208
199209
199210
199211
199306
199307
199308
199309
199310
199311
199312
199404
199405
199406
199407
199408
199409
199410
199505
199506
199507
199508
199509
199510
199511
199605
199606
199607
199608
199609
199610
199611
199612
199705
199706
199707
199708
199709
199711
199805
199806
199807
199808
199809
199810
199811
199812
199905
199906
199907
199908
199909
199910
199911
200006
200007
200008
200009
200010
200011
200012
200105
200106
200107
200108
200109
200110
200111
200205
200206
200207
200208
200209
200210
200211
200305
200306
200307
200308
200309
200310
200312
200405
200406
200407
200408
200409
200410
200506
200507
200508
200509
200510
200511
200512
200604
200605
200606
200607
200608
200609
200610
200705
200706
200707
200708
200709
200710
200711
200804
200805
200806
200807
200808
200809
200810
200811
200812
200905
200907
200908
200909
200910
200911
201005
201006
201007
201008
201009
201010
201011
201012
201106
201107
201108
201109
201110
201111
201112
201205
201206
201207
201208
201209
201210
201211
201305
201306
201307
201308
201309
201310
201311
201312
201405
201406
201407
201408
201409
201410
201411
201412
201501
201506
201507
201508
201509
201510
201511
201605
201606
201607
201608
201609
201610
201611
201612
201704
201705
201706
201707
201708
201709
201710
201711
201712
201805
201806
201807
201808
201809
201810
201812
201904
201905
201906
201907
201908
201909
201910
201911
202005
202006
202007
202008
202009
202010
202011
202012
202105
202106
202107
202108
202109
202110
202111
202112
202203
202205
202207
202208
202209
202210
202212
202305
202306
202307
202308
202309
202310
202311
202312
202405
202406
202407
202408
202409
202410
202411
202412
202505
202506
202507
202508
202509
202510
202511
202512
