activity,institution,source_id,experiment_id,member_id,candidate_ready,full_physics_ready,trackability,circulation_basis,pressure_levels_verified,has_mslp,has_surface_wind,has_precipitation,has_temperature,has_humidity,has_surface_pressure,historical_pair_available,grid_labels,first_period,last_period,available_fields,missing_for_candidate_tracking,remaining_preprocessing
CMIP,CNRM-CERFACS,CNRM-CM6-1,abrupt-4xCO2,r3i1p1f2,False,False,incomplete,none,False,False,False,True,False,False,False,False,gr,185005010130,185412312230,3hr:pr,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind
CMIP,CNRM-CERFACS,CNRM-CM6-1,abrupt-4xCO2,r4i1p1f2,False,False,incomplete,none,False,False,False,True,False,False,False,False,gr,185007010130,185412312230,3hr:pr,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind
CMIP,CNRM-CERFACS,CNRM-CM6-1,abrupt-4xCO2,r5i1p1f2,False,False,incomplete,none,False,False,False,True,False,False,False,False,gr,185009010130,185412312230,3hr:pr,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind
CMIP,CNRM-CERFACS,CNRM-CM6-1,abrupt-4xCO2,r6i1p1f2,False,False,incomplete,none,False,False,False,True,False,False,False,False,gr,185011010130,185412312230,3hr:pr,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind
CMIP,CNRM-CERFACS,CNRM-CM6-1,amip,r1i1p1f2,False,False,incomplete,none,False,True,True,True,False,True,True,True,gr,197901010130,201501010000,3hr:pr|3hr:ps|3hr:uas|3hr:vas|6hrLev:ps|6hrPlev:hus|6hrPlevPt:hus|6hrPlevPt:psl|6hrPlevPt:uas|6hrPlevPt:vas|6hrPlevPt:zg,verified fixed-pressure ua+va or vo at 850/700/500 hPa,regional subset and common-grid standardisation
CMIP,CNRM-CERFACS,CNRM-CM6-1,historical,r1i1p1f2,False,False,hybrid_levels_convertible,6hrLev:ua+va,False,True,True,True,False,True,True,False,gr,185001010130,201501010000,3hr:pr|3hr:ps|3hr:uas|3hr:vas|6hrLev:hus|6hrLev:ps|6hrLev:ta|6hrLev:ua|6hrLev:va|6hrPlev:hus|6hrPlevPt:hus|6hrPlevPt:psl|6hrPlevPt:uas|6hrPlevPt:vas|6hrPlevPt:zg,verified fixed-pressure ua+va or vo at 850/700/500 hPa,hybrid-to-pressure interpolation|regional subset and common-grid standardisation
CMIP,CNRM-CERFACS,CNRM-CM6-1,historical,r2i1p1f2,False,False,hybrid_levels_convertible,6hrLev:ua+va,False,True,True,True,False,True,True,False,gr,185001010130,201501010000,3hr:pr|3hr:ps|3hr:uas|3hr:vas|6hrLev:hus|6hrLev:ps|6hrLev:ta|6hrLev:ua|6hrLev:va|6hrPlev:hus|6hrPlevPt:hus|6hrPlevPt:psl|6hrPlevPt:uas|6hrPlevPt:vas|6hrPlevPt:zg,verified fixed-pressure ua+va or vo at 850/700/500 hPa,hybrid-to-pressure interpolation|regional subset and common-grid standardisation
CMIP,CNRM-CERFACS,CNRM-CM6-1,historical,r3i1p1f2,False,False,hybrid_levels_convertible,6hrLev:ua+va,False,True,True,True,False,True,True,False,gr,185001010130,201501010000,3hr:pr|3hr:ps|3hr:uas|3hr:vas|6hrLev:hus|6hrLev:ps|6hrLev:ta|6hrLev:ua|6hrLev:va|6hrPlev:hus|6hrPlevPt:hus|6hrPlevPt:psl|6hrPlevPt:uas|6hrPlevPt:vas|6hrPlevPt:zg,verified fixed-pressure ua+va or vo at 850/700/500 hPa,hybrid-to-pressure interpolation|regional subset and common-grid standardisation
CMIP,CNRM-CERFACS,CNRM-CM6-1-HR,amip,r1i1p1f2,False,False,incomplete,none,False,False,True,False,False,False,True,True,gr,197901010300,201501010000,3hr:ps|3hr:uas|3hr:vas|6hrLev:ps,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|precipitation diagnostics unavailable
CMIP,CNRM-CERFACS,CNRM-CM6-1-HR,historical,r1i1p1f2,True,False,candidate_ready,6hrPlevPt:ua+va,True,True,True,True,True,False,True,False,gr,195001010130,201501010000,3hr:pr|3hr:uas|3hr:vas|6hrLev:ps|6hrPlevPt:psl|6hrPlevPt:ta|6hrPlevPt:ua|6hrPlevPt:va,,regional subset and common-grid standardisation
