activity,institution,source_id,experiment_id,member_id,table_id,variable_id,grid_label,version,file_count,bytes,first_period,last_period,sample_file,sample_cadence_hours,calendar,latitude_count,longitude_count,latitude_spacing_deg,longitude_spacing_deg,pressure_levels_hpa,has_850_700_500_hpa,metadata_error,path
CMIP,AS-RCEC,TaiESM1,abrupt-4xCO2,r1i1p1f1,3hr,pr,gn,v20210215,14,74101632382,001101010000,015012312100,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/abrupt-4xCO2/r1i1p1f1/3hr/pr/gn/latest/pr_3hr_TaiESM1_abrupt-4xCO2_r1i1p1f1_gn_001101010000-002012312100.nc,3.0,noleap,192,288,0.94241,1.25,,,,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/abrupt-4xCO2/r1i1p1f1/3hr/pr/gn/latest
CMIP,AS-RCEC,TaiESM1,amip,r1i1p1f1,3hr,ps,gn,v20200817,5,9630427872,197901010130,201412312230,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/amip/r1i1p1f1/3hr/ps/gn/latest/ps_3hr_TaiESM1_amip_r1i1p1f1_gn_197901010130-197912312230.nc,3.0,noleap,192,288,0.94241,1.25,,,,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/amip/r1i1p1f1/3hr/ps/gn/latest
CMIP,AS-RCEC,TaiESM1,historical,r1i1p1f1,3hr,pr,gn,v20201013,17,87594627031,185001010000,201412312230,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/historical/r1i1p1f1/3hr/pr/gn/latest/pr_3hr_TaiESM1_historical_r1i1p1f1_gn_185001010000-185912312230.nc,3.0,noleap,192,288,0.94241,1.25,,,,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/historical/r1i1p1f1/3hr/pr/gn/latest
CMIP,AS-RCEC,TaiESM1,historical,r1i1p1f1,3hr,ps,gn,v20201013,17,61128405397,185001010000,201412312230,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/historical/r1i1p1f1/3hr/ps/gn/latest/ps_3hr_TaiESM1_historical_r1i1p1f1_gn_185001010000-185912312230.nc,3.0,noleap,192,288,0.94241,1.25,,,,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/historical/r1i1p1f1/3hr/ps/gn/latest
CMIP,AS-RCEC,TaiESM1,historical,r1i1p1f1,6hrPlevPt,hus,gn,v20201112,17,1027932410688,185001010000,201501010000,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/historical/r1i1p1f1/6hrPlevPt/hus/gn/latest/hus_6hrPlevPt_TaiESM1_historical_r1i1p1f1_gn_185001010000-186001010000.nc,,,,,,,,,RuntimeError: NetCDF: HDF error,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/historical/r1i1p1f1/6hrPlevPt/hus/gn/latest
CMIP,AS-RCEC,TaiESM1,historical,r1i1p1f1,6hrPlevPt,psl,gn,v20201112,17,28326024076,185001010000,201501010000,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/historical/r1i1p1f1/6hrPlevPt/psl/gn/latest/psl_6hrPlevPt_TaiESM1_historical_r1i1p1f1_gn_185001010000-186001010000.nc,,,,,,,,,RuntimeError: NetCDF: HDF error,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/historical/r1i1p1f1/6hrPlevPt/psl/gn/latest
CMIP,AS-RCEC,TaiESM1,historical,r1i1p1f1,6hrPlevPt,ta,gn,v20201112,17,87449286985,185001010000,201501010000,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/historical/r1i1p1f1/6hrPlevPt/ta/gn/latest/ta_6hrPlevPt_TaiESM1_historical_r1i1p1f1_gn_185001010000-186001010000.nc,,,,,,,,,RuntimeError: NetCDF: HDF error,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/historical/r1i1p1f1/6hrPlevPt/ta/gn/latest
CMIP,AS-RCEC,TaiESM1,historical,r1i1p1f1,6hrPlevPt,ua,gn,v20201112,17,124256669454,185001010000,201501010000,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/historical/r1i1p1f1/6hrPlevPt/ua/gn/latest/ua_6hrPlevPt_TaiESM1_historical_r1i1p1f1_gn_185001010000-186001010000.nc,6.0,noleap,192,288,0.94241,1.25,250|500|850,False,,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/historical/r1i1p1f1/6hrPlevPt/ua/gn/latest
CMIP,AS-RCEC,TaiESM1,historical,r1i1p1f1,6hrPlevPt,va,gn,v20201112,17,126800044336,185001010000,201501010000,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/historical/r1i1p1f1/6hrPlevPt/va/gn/latest/va_6hrPlevPt_TaiESM1_historical_r1i1p1f1_gn_185001010000-186001010000.nc,6.0,noleap,192,288,0.94241,1.25,250|500|850,False,,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/historical/r1i1p1f1/6hrPlevPt/va/gn/latest
CMIP,AS-RCEC,TaiESM1,historical,r1i1p1f1,6hrPlevPt,zg,gn,v20201112,17,806094477159,185001010000,201501010000,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/historical/r1i1p1f1/6hrPlevPt/zg/gn/latest/zg_6hrPlevPt_TaiESM1_historical_r1i1p1f1_gn_185001010000-186001010000.nc,,,,,,,,,RuntimeError: NetCDF: HDF error,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/historical/r1i1p1f1/6hrPlevPt/zg/gn/latest
CMIP,AS-RCEC,TaiESM1,historical,r1i1p1f1,6hrPlev,hus,gn,v20201112,17,160384470206,185001010000,201412312100,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/historical/r1i1p1f1/6hrPlev/hus/gn/latest/hus_6hrPlev_TaiESM1_historical_r1i1p1f1_gn_185001010000-185912312100.nc,6.0,noleap,192,288,0.94241,1.25,250|500|850|925,False,,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/historical/r1i1p1f1/6hrPlev/hus/gn/latest
CMIP,AS-RCEC,TaiESM1,historical,r1i1p1f1,6hrPlev,pr,gn,v20201112,17,43637538622,185001010000,201412312100,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/historical/r1i1p1f1/6hrPlev/pr/gn/latest/pr_6hrPlev_TaiESM1_historical_r1i1p1f1_gn_185001010000-185912312100.nc,6.0,noleap,192,288,0.94241,1.25,250|500|850|925,False,,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/historical/r1i1p1f1/6hrPlev/pr/gn/latest
CMIP,AS-RCEC,TaiESM1,historical,r1i1p1f1,6hrPlev,psl,gn,v20201112,17,28279677651,185001010000,201412312100,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/historical/r1i1p1f1/6hrPlev/psl/gn/latest/psl_6hrPlev_TaiESM1_historical_r1i1p1f1_gn_185001010000-185912312100.nc,6.0,noleap,192,288,0.94241,1.25,250|500|850|925,False,,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/historical/r1i1p1f1/6hrPlev/psl/gn/latest
CMIP,AS-RCEC,TaiESM1,historical,r1i1p1f1,6hrLev,hus,gn,v20201112,17,1142715289474,185001010000,201501010000,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/historical/r1i1p1f1/6hrLev/hus/gn/latest/hus_6hrLev_TaiESM1_historical_r1i1p1f1_gn_185001010000-186001010000.nc,6.0,noleap,192,288,0.94241,1.25,,,,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/historical/r1i1p1f1/6hrLev/hus/gn/latest
CMIP,AS-RCEC,TaiESM1,historical,r1i1p1f1,6hrLev,ps,gn,v20201112,17,30577842582,185001010000,201501010000,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/historical/r1i1p1f1/6hrLev/ps/gn/latest/ps_6hrLev_TaiESM1_historical_r1i1p1f1_gn_185001010000-186001010000.nc,6.0,noleap,192,288,0.94241,1.25,,,,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/historical/r1i1p1f1/6hrLev/ps/gn/latest
CMIP,AS-RCEC,TaiESM1,historical,r1i1p1f1,6hrLev,ta,gn,v20201112,17,916767910406,185001010000,201501010000,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/historical/r1i1p1f1/6hrLev/ta/gn/latest/ta_6hrLev_TaiESM1_historical_r1i1p1f1_gn_185001010000-186001010000.nc,6.0,noleap,192,288,0.94241,1.25,,,,/badc/cmip6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/historical/r1i1p1f1/6hrLev/ta/gn/latest
